,money,wandering_time,reqday_plot
0,50730.0,13.5,34
1,50750.0,41.1,37
2,48880.0,209.9,48
3,47900.0,136.9,36
4,46870.0,127.9,36
5,49770.0,18.2,27
6,50230.0,29.4,31
