,money,wandering_time,reqday_plot
0,50390.0,24.2,33
1,52500.0,25.4,33
2,46380.0,209.6,34
3,47020.0,155.1,29
4,50920.0,103.2,34
5,50440.0,18.0,33
6,52370.0,24.3,30
