,money,wandering_time,reqday_plot
0,480.45,46.55,37
1,544.5,35.65,37
2,523.851,208.45,51
3,491.0,162.25,37
4,485.35,132.35,33
5,515.9,41.55,35
6,509.1,45.7,32
