,money,wandering_time,reqday_plot
0,48010.0,43.25,28
1,52555.0,45.8,40
2,51155.0,220.35,39
3,47455.0,179.55,41
4,47130.0,145.3,33
5,51475.0,41.5,31
6,51400.0,50.45,41
