,money,wandering_time,reqday_plot
0,48185.0,41.2,37
1,51455.0,40.35,34
2,54040.0,203.1,52
3,51405.0,139.95,40
4,48845.0,124.6,48
5,50950.0,41.0,31
6,50465.0,56.55,34
