,money,wandering_time,reqday_plot
0,51085.5,265.625,6076
1,53905.0,245.395,6467
2,52659.0,239.145,6582
3,49181.5,264.275,5901
4,50837.5,257.16,6240
5,47696.5,267.935,5979
6,50801.5,270.63,6193
