,money,wandering_time,reqday_plot
0,50060.0,20.3,33
1,51860.0,24.6,31
2,45000.0,226.1,50
3,52270.0,121.1,44
4,46090.0,123.6,45
5,49410.0,16.2,33
6,53440.0,24.5,30
