,money,wandering_time
0,235.0,675
1,303.0,545
2,482.0,111
3,500.0,185
4,171.0,725
5,423.0,218
6,363.0,249
7,276.0,596
8,257.0,283
9,235.0,631
10,410.0,408
11,92.0,853
12,371.0,509
13,374.0,257
14,380.0,695
15,462.0,905
16,373.0,256
17,323.0,251
18,231.0,645
19,459.0,618
20,251.0,301
21,172.0,376
22,363.0,455
23,280.0,607
24,181.0,1541
25,44.0,439
26,397.0,482
27,221.0,344
28,416.0,221
29,364.0,595
30,369.0,944
31,58.0,428
32,72.0,452
33,308.0,287
34,502.0,37
35,425.0,225
36,395.0,241
37,422.0,254
38,149.0,386
39,94.0,1661
40,14.0,13
41,221.0,362
42,323.0,498
43,94.0,1661
44,301.0,636
45,277.0,894
46,326.0,574
47,231.0,645
48,335.0,152
49,265.0,584
50,462.0,905
51,71.0,441
52,273.0,268
53,184.0,724
54,460.0,194
55,218.0,328
56,101.0,431
57,307.0,834
58,371.0,249
59,312.0,589
60,326.0,574
61,218.0,315
62,278.0,319
63,233.0,324
64,369.0,933
65,161.0,1151
66,343.0,819
67,155.0,782
68,230.0,302
69,253.0,346
70,311.0,271
71,202.0,642
72,306.0,966
73,278.0,656
74,371.0,509
75,507.0,298
76,280.0,301
77,340.0,526
78,301.0,936
79,403.0,90
80,300.0,271
81,211.0,328
82,83.0,2161
83,483.0,117
84,202.0,642
85,244.0,371
86,92.0,434
87,279.0,297
88,315.0,274
89,341.0,504
90,146.0,833
91,142.0,818
92,343.0,709
93,277.0,894
94,307.0,834
95,83.0,2161
96,104.0,1261
97,208.0,739
98,111.0,1249
99,236.0,303
100,331.0,562
101,85.0,428
102,438.0,94
103,235.0,302
104,330.0,273
105,99.0,426
106,157.0,378
107,284.0,285
108,248.0,307
109,216.0,715
110,34.0,1393
111,80.0,1725
112,109.0,426
113,71.0,446
114,124.0,1697
115,240.0,325
116,78.0,1261
117,493.0,111
118,85.0,435
119,245.0,296
120,340.0,259
121,500.0,405
122,172.0,1122
123,280.0,611
124,397.0,482
125,123.0,793
126,359.0,853
127,211.0,348
128,203.0,1263
129,172.0,1122
130,411.0,284
131,294.0,746
132,245.0,669
133,277.0,287
134,341.0,259
135,44.0,463
136,457.0,265
137,191.0,347
138,67.0,440
139,205.0,1102
140,303.0,585
141,314.0,830
142,304.0,872
143,273.0,535
144,278.0,946
145,200.0,666
146,431.0,289
147,117.0,791
148,45.0,1330
149,212.0,345
150,288.0,476
151,164.0,761
152,299.0,594
153,235.0,631
154,311.0,552
155,71.0,1363
156,175.0,348
157,130.0,414
158,146.0,787
159,220.0,335
160,475.0,117
161,458.0,125
162,493.0,111
163,157.0,750
164,74.0,442
165,369.0,944
166,400.0,264
167,179.0,350
168,81.0,861
169,34.0,1393
170,272.0,53
171,127.0,1182
172,80.0,1725
173,301.0,936
174,187.0,339
175,128.0,1601
176,278.0,270
177,128.0,398
178,203.0,1263
179,162.0,697
180,38.0,1367
181,47.0,464
182,211.0,331
183,148.0,374
184,81.0,861
185,86.0,889
186,143.0,386
187,226.0,651
188,174.0,386
189,490.0,56
190,481.0,97
191,463.0,201
192,323.0,498
193,88.0,1681
194,412.0,238
195,34.0,460
196,521.0,94
197,461.0,76
198,35.0,917
199,503.0,87
200,155.0,776
201,369.0,933
202,294.0,746
203,80.0,1725
204,399.0,139
205,246.0,842
206,96.0,781
207,187.0,675
208,117.0,791
209,47.0,458
210,217.0,677
211,71.0,1363
212,109.0,414
213,169.0,635
214,160.0,1081
215,166.0,346
216,147.0,396
217,57.0,881
218,137.0,768
219,81.0,444
220,301.0,936
221,78.0,1261
222,222.0,693
223,336.0,712
224,63.0,886
225,128.0,816
226,164.0,761
227,431.0,289
228,486.0,47
229,139.0,387
230,180.0,1082
231,198.0,339
232,259.0,1037
233,72.0,442
234,85.0,408
235,174.0,724
236,162.0,350
237,48.0,913
238,105.0,420
239,400.0,264
240,139.0,769
241,45.0,1330
242,146.0,787
243,193.0,372
244,135.0,378
245,213.0,1018
246,191.0,1418
247,500.0,150
248,170.0,693
249,128.0,1601
250,174.0,714
251,47.0,916
252,134.0,2381
253,89.0,422
254,100.0,759
255,69.0,864
256,179.0,746
257,156.0,396
258,139.0,769
259,436.0,69
260,0.0,482
261,135.0,775
262,427.0,306
263,132.0,405
264,413.0,146
265,109.0,402
266,155.0,797
267,122.0,811
268,111.0,408
269,143.0,390
270,203.0,331
271,123.0,385
272,175.0,753
273,111.0,1249
274,73.0,441
275,314.0,830
276,227.0,337
277,71.0,432
278,40.0,919
279,186.0,355
280,213.0,1018
281,73.0,432
282,195.0,751
283,427.0,306
284,341.0,504
285,146.0,392
286,369.0,933
287,171.0,725
288,126.0,725
289,200.0,666
290,143.0,380
291,211.0,339
292,445.0,146
293,475.0,117
294,100.0,831
295,112.0,381
296,155.0,782
297,119.0,414
298,176.0,366
299,521.0,94
300,130.0,1216
301,235.0,769
302,500.0,150
303,69.0,386
304,213.0,311
305,122.0,388
306,155.0,776
307,259.0,1037
308,171.0,739
309,68.0,920
310,134.0,2381
311,500.0,150
312,221.0,694
313,109.0,435
314,344.0,177
315,40.0,919
316,176.0,370
317,299.0,594
318,45.0,454
319,83.0,2161
320,277.0,894
321,53.0,453
322,90.0,408
323,484.0,63
324,106.0,406
325,34.0,1393
326,458.0,255
327,288.0,476
328,252.0,325
329,204.0,353
330,108.0,387
331,460.0,233
332,324.0,412
333,172.0,1122
334,85.0,412
335,47.0,456
336,159.0,767
337,126.0,1579
338,75.0,883
339,47.0,889
340,175.0,753
341,172.0,739
342,73.0,857
343,84.0,877
344,100.0,433
345,52.0,901
346,135.0,391
347,38.0,913
348,172.0,1812
349,246.0,842
350,42.0,896
351,160.0,1081
352,447.0,114
353,216.0,715
354,91.0,867
355,431.0,289
356,205.0,343
357,69.0,440
358,78.0,1261
359,308.0,227
360,366.0,172
361,59.0,865
362,99.0,421
363,79.0,430
364,245.0,669
365,343.0,819
366,278.0,656
367,180.0,1082
368,139.0,413
369,412.0,238
370,48.0,913
371,76.0,803
372,172.0,1812
373,165.0,756
374,69.0,891
375,0.0,963
376,343.0,709
377,41.0,457
378,100.0,831
379,0.0,482
380,97.0,1270
381,72.0,429
382,86.0,851
383,100.0,1221
384,191.0,1418
385,463.0,74
386,100.0,1221
387,47.0,458
388,353.0,355
389,328.0,176
390,226.0,651
391,459.0,618
392,111.0,835
393,171.0,362
394,121.0,774
395,127.0,403
396,203.0,1263
397,201.0,365
398,280.0,607
399,208.0,739
400,120.0,417
401,191.0,1418
402,61.0,839
403,460.0,233
404,246.0,842
405,71.0,434
406,484.0,63
407,81.0,433
408,306.0,966
409,108.0,416
410,98.0,402
411,80.0,430
412,39.0,458
413,114.0,793
414,205.0,725
415,162.0,1125
416,158.0,387
417,481.0,97
418,86.0,413
419,23.0,464
420,272.0,53
421,265.0,584
422,59.0,445
423,153.0,362
424,458.0,255
425,30.0,469
426,460.0,59
427,130.0,1216
428,187.0,675
429,94.0,415
430,157.0,750
431,172.0,1812
432,75.0,428
433,126.0,423
434,67.0,444
435,85.0,803
436,13.0,476
437,67.0,433
438,120.0,400
439,161.0,1151
440,83.0,2161
441,445.0,146
442,42.0,896
443,56.0,1293
444,28.0,465
445,13.0,947
446,52.0,457
447,172.0,739
448,352.0,298
449,0.0,482
450,369.0,944
451,72.0,863
452,75.0,448
453,33.0,936
454,415.0,58
455,280.0,611
456,39.0,1387
457,401.0,247
458,380.0,114
459,73.0,437
460,69.0,447
461,49.0,448
462,411.0,284
463,369.0,944
464,89.0,858
465,68.0,441
466,71.0,425
467,81.0,428
468,205.0,1102
469,483.0,117
470,99.0,424
471,101.0,1712
472,365.0,166
473,400.0,160
474,353.0,146
475,0.0,480
476,80.0,1725
477,110.0,414
478,462.0,905
479,117.0,422
480,165.0,756
481,112.0,795
482,55.0,447
483,38.0,462
484,67.0,1321
485,57.0,450
486,427.0,306
487,126.0,1579
488,57.0,432
489,20.0,477
490,433.0,185
491,463.0,201
492,161.0,1151
493,33.0,447
494,33.0,936
495,79.0,420
496,134.0,2381
497,111.0,835
498,9.0,474
499,179.0,746
500,0.0,482
501,80.0,435
502,343.0,709
503,38.0,1367
504,155.0,797
505,304.0,211
506,311.0,552
507,433.0,185
508,340.0,526
509,448.0,93
510,84.0,877
511,463.0,175
512,121.0,774
513,31.0,464
514,128.0,394
515,0.0,482
516,40.0,463
517,235.0,769
518,32.0,461
519,59.0,865
520,472.0,101
521,104.0,411
522,259.0,1037
523,97.0,401
524,22.0,913
525,11.0,945
526,67.0,1321
527,172.0,1812
528,51.0,901
529,63.0,886
530,184.0,724
531,68.0,435
532,384.0,122
533,96.0,781
534,170.0,693
535,100.0,1221
536,27.0,465
537,180.0,378
538,47.0,889
539,124.0,1697
540,27.0,464
541,28.0,464
542,75.0,883
543,18.0,470
544,20.0,943
545,304.0,872
546,29.0,1380
547,104.0,1261
548,35.0,460
549,20.0,471
550,34.0,466
551,312.0,589
552,53.0,455
553,56.0,436
554,93.0,430
555,19.0,942
556,22.0,913
557,0.0,482
558,181.0,333
559,12.0,474
560,0.0,482
561,181.0,415
562,65.0,431
563,9.0,476
564,114.0,793
565,259.0,1037
566,43.0,466
567,287.0,237
568,0.0,482
569,18.0,469
570,126.0,1579
571,132.0,1142
572,23.0,460
573,0.0,482
574,13.0,477
575,68.0,920
576,235.0,675
577,88.0,1681
578,67.0,1321
579,34.0,471
580,128.0,816
581,162.0,1125
582,31.0,467
583,217.0,677
584,94.0,1661
585,73.0,857
586,34.0,467
587,68.0,438
588,19.0,959
589,67.0,457
590,52.0,901
591,272.0,53
592,142.0,818
593,76.0,803
594,50.0,887
595,445.0,317
596,307.0,834
597,391.0,160
598,447.0,80
599,124.0,1697
600,42.0,449
601,46.0,464
602,146.0,833
603,91.0,867
604,19.0,942
605,38.0,458
606,50.0,439
607,90.0,410
608,308.0,227
609,492.0,89
610,303.0,545
611,57.0,438
612,18.0,472
613,42.0,447
614,507.0,298
615,181.0,1541
616,24.0,471
617,464.0,86
618,104.0,1261
619,331.0,562
620,83.0,2161
621,0.0,963
622,35.0,917
623,294.0,746
624,69.0,891
625,29.0,455
626,204.0,294
627,394.0,126
628,13.0,947
629,14.0,13
630,359.0,853
631,12.0,469
632,19.0,937
633,273.0,535
634,171.0,739
635,85.0,803
636,463.0,175
637,44.0,469
638,338.0,185
639,122.0,811
640,7.0,478
641,72.0,854
642,51.0,901
643,72.0,863
644,445.0,317
645,88.0,1681
646,50.0,428
647,50.0,887
648,507.0,298
649,457.0,265
650,412.0,80
651,28.0,920
652,72.0,854
653,186.0,314
654,19.0,959
655,25.0,465
656,364.0,595
657,301.0,636
658,97.0,1270
659,324.0,412
660,457.0,265
661,16.0,468
662,48.0,444
663,7.0,480
664,276.0,596
665,380.0,695
666,48.0,449
667,462.0,905
668,88.0,1681
669,56.0,1293
670,126.0,725
671,70.0,444
672,17.0,957
673,6.0,478
674,23.0,465
675,56.0,1293
676,174.0,724
677,128.0,1601
678,40.0,460
679,353.0,355
680,169.0,635
681,31.0,460
682,29.0,464
683,134.0,2381
684,0.0,482
685,101.0,1712
686,14.0,468
687,314.0,830
688,9.0,478
689,17.0,957
690,97.0,1270
691,89.0,858
692,38.0,1367
693,7.0,957
694,482.0,111
695,112.0,795
696,0.0,482
697,111.0,1249
698,407.0,150
699,126.0,1579
700,195.0,751
701,336.0,712
702,15.0,467
703,172.0,1812
704,137.0,768
705,0.0,482
706,0.0,963
707,127.0,412
708,119.0,368
709,325.0,188
710,59.0,444
711,191.0,1418
712,13.0,470
713,124.0,1697
714,0.0,963
715,0.0,963
716,402.0,150
717,464.0,91
718,25.0,919
719,35.0,457
720,351.0,162
721,230.0,26
722,57.0,881
723,401.0,247
724,359.0,853
725,304.0,872
726,410.0,408
727,303.0,585
728,127.0,1182
729,363.0,455
730,16.0,473
731,0.0,482
732,109.0,420
733,7.0,479
734,21.0,475
735,0.0,482
736,39.0,1387
737,205.0,1102
738,8.0,472
739,29.0,1380
740,29.0,1380
741,86.0,851
742,15.0,481
743,51.0,454
744,305.0,196
745,294.0,205
746,418.0,71
747,306.0,966
748,15.0,472
749,278.0,946
750,369.0,933
751,11.0,470
752,29.0,469
753,94.0,1661
754,128.0,1601
755,14.0,471
756,500.0,405
757,132.0,1142
758,69.0,864
759,205.0,725
760,21.0,919
761,61.0,839
762,100.0,759
763,24.0,470
764,181.0,1541
765,329.0,171
766,101.0,1712
767,203.0,1263
768,278.0,946
769,180.0,1082
770,0.0,482
771,71.0,1363
772,328.0,221
773,20.0,467
774,11.0,945
775,370.0,136
776,459.0,618
777,134.0,2381
778,222.0,693
779,37.0,463
780,38.0,913
781,101.0,1712
782,14.0,474
783,21.0,473
784,235.0,769
785,90.0,419
786,174.0,714
787,45.0,1330
788,162.0,697
789,462.0,905
790,0.0,480
791,27.0,469
792,20.0,943
793,33.0,462
794,12.0,469
795,352.0,298
796,336.0,712
797,134.0,2381
798,123.0,793
799,21.0,919
800,336.0,712
801,109.0,397
802,221.0,694
803,0.0,479
804,135.0,775
805,43.0,449
806,343.0,819
807,24.0,447
808,162.0,1125
809,19.0,466
810,19.0,937
811,130.0,1216
812,92.0,853
813,28.0,920
814,39.0,1387
815,0.0,482
816,213.0,1018
817,127.0,1182
818,380.0,695
819,132.0,1142
820,0.0,963
821,159.0,767
822,160.0,1081
823,0.0,963
824,181.0,1541
825,0.0,482
826,62.0,438
827,38.0,442
828,34.0,457
829,500.0,405
830,47.0,916
831,25.0,919
832,20.0,463
833,0.0,482
834,86.0,889
835,0.0,479
836,50.0,470
837,0.0,963
838,30.0,468
839,7.0,957
