,money,wandering_time
0,339.0,293
1,317.0,276
2,273.0,336
3,210.0,719
4,303.0,302
5,327.0,547
6,312.0,275
7,306.0,111
8,426.0,201
9,410.0,249
10,313.0,300
11,289.0,307
12,257.0,650
13,127.0,397
14,326.0,286
15,446.0,210
16,164.0,1072
17,447.0,132
18,113.0,391
19,62.0,440
20,303.0,274
21,427.0,222
22,115.0,1279
23,410.0,227
24,409.0,253
25,367.0,238
26,231.0,336
27,190.0,371
28,198.0,388
29,350.0,837
30,362.0,132
31,107.0,412
32,201.0,1057
33,410.0,258
34,344.0,246
35,211.0,372
36,273.0,615
37,201.0,1057
38,269.0,867
39,106.0,417
40,252.0,338
41,39.0,460
42,207.0,365
43,329.0,254
44,231.0,324
45,82.0,431
46,457.0,71
47,69.0,450
48,443.0,902
49,339.0,251
50,302.0,560
51,352.0,317
52,476.0,190
53,122.0,414
54,410.0,238
55,150.0,821
56,24.0,467
57,507.0,125
58,324.0,281
59,339.0,266
60,364.0,535
61,349.0,270
62,76.0,429
63,250.0,634
64,384.0,243
65,349.0,283
66,315.0,284
67,15.0,474
68,168.0,1486
69,409.0,253
70,290.0,294
71,403.0,141
72,410.0,258
73,427.0,110
74,452.0,108
75,464.0,99
76,292.0,303
77,366.0,537
78,50.0,454
79,213.0,336
80,115.0,1279
81,327.0,262
82,319.0,595
83,116.0,412
84,375.0,105
85,308.0,263
86,49.0,459
87,486.0,69
88,230.0,746
89,205.0,987
90,186.0,376
91,28.0,470
92,443.0,902
93,266.0,288
94,464.0,623
95,255.0,294
96,189.0,353
97,67.0,1306
98,327.0,267
99,115.0,1279
100,362.0,265
101,266.0,320
102,433.0,62
103,422.0,258
104,342.0,120
105,201.0,1057
106,269.0,867
107,255.0,304
108,212.0,307
109,146.0,377
110,243.0,321
111,350.0,837
112,125.0,403
113,83.0,429
114,184.0,369
115,178.0,353
116,250.0,319
117,117.0,352
118,234.0,638
119,474.0,96
120,215.0,326
121,543.0,151
122,356.0,256
123,57.0,457
124,295.0,313
125,260.0,310
126,464.0,623
127,229.0,345
128,117.0,403
129,315.0,284
130,174.0,366
131,254.0,620
132,178.0,811
133,504.0,75
134,257.0,314
135,364.0,535
136,399.0,142
137,261.0,319
138,440.0,89
139,228.0,338
140,457.0,94
141,279.0,523
142,76.0,864
143,269.0,329
144,349.0,258
145,226.0,353
146,253.0,347
147,36.0,464
148,144.0,395
149,100.0,403
150,405.0,124
151,474.0,96
152,205.0,987
153,210.0,719
154,67.0,1306
155,263.0,323
156,296.0,290
157,230.0,746
158,110.0,418
159,435.0,180
160,129.0,423
161,231.0,975
162,321.0,281
163,352.0,281
164,164.0,1072
165,349.0,772
166,136.0,396
167,293.0,276
168,183.0,370
169,443.0,902
170,118.0,419
171,134.0,395
172,329.0,244
173,149.0,413
174,319.0,595
175,325.0,380
176,207.0,338
177,246.0,324
178,234.0,325
179,164.0,1072
180,216.0,340
181,254.0,620
182,230.0,346
183,82.0,434
184,386.0,267
185,278.0,317
186,279.0,523
187,504.0,57
188,101.0,408
189,166.0,345
190,366.0,256
191,185.0,372
192,274.0,291
193,215.0,347
194,66.0,446
195,130.0,409
196,127.0,820
197,337.0,229
198,68.0,447
199,188.0,378
200,231.0,975
201,351.0,158
202,349.0,772
203,217.0,329
204,260.0,322
205,60.0,449
206,152.0,372
207,279.0,287
208,443.0,902
209,8.0,479
210,269.0,276
211,76.0,864
212,472.0,69
213,8.0,478
214,449.0,100
215,65.0,451
216,168.0,1486
217,349.0,772
218,114.0,421
219,89.0,408
220,202.0,368
221,464.0,623
222,92.0,424
223,234.0,638
224,105.0,421
225,134.0,800
226,496.0,141
227,50.0,455
228,272.0,303
229,483.0,124
230,157.0,384
231,214.0,691
232,425.0,96
233,257.0,650
234,200.0,334
235,131.0,400
236,199.0,384
237,184.0,376
238,27.0,468
239,332.0,517
240,127.0,388
241,280.0,337
242,170.0,359
243,26.0,941
244,151.0,772
245,224.0,678
246,96.0,411
247,151.0,772
248,264.0,282
249,183.0,355
250,206.0,320
251,111.0,420
252,82.0,416
253,350.0,837
254,250.0,634
255,218.0,690
256,67.0,1306
257,471.0,138
258,111.0,366
259,156.0,389
260,225.0,360
261,94.0,424
262,231.0,975
263,127.0,410
264,497.0,67
265,185.0,377
266,78.0,427
267,332.0,517
268,51.0,459
269,169.0,387
270,23.0,467
271,410.0,238
272,218.0,690
273,224.0,678
274,247.0,281
275,174.0,387
276,194.0,368
277,297.0,305
278,148.0,420
279,54.0,450
280,7.0,480
281,325.0,380
282,438.0,66
283,81.0,440
284,366.0,537
285,168.0,1486
286,471.0,138
287,109.0,375
288,334.0,231
289,252.0,583
290,134.0,800
291,0.0,482
292,168.0,1486
293,182.0,360
294,191.0,327
295,269.0,867
296,462.0,120
297,150.0,821
298,518.0,48
299,263.0,302
300,183.0,378
301,178.0,811
302,98.0,409
303,250.0,338
304,26.0,941
305,174.0,385
306,247.0,313
307,352.0,317
308,187.0,373
309,127.0,820
310,159.0,351
311,252.0,583
312,200.0,356
313,255.0,257
314,107.0,420
315,7.0,480
316,254.0,288
317,205.0,987
318,139.0,394
319,273.0,615
320,155.0,378
321,121.0,406
322,165.0,387
323,435.0,180
324,507.0,125
325,214.0,691
326,7.0,479
327,496.0,141
328,195.0,365
329,214.0,325
330,218.0,361
331,302.0,560
332,469.0,84
333,40.0,459
334,327.0,547
335,84.0,431
