,money,wandering_time
0,341.0,263
1,467.0,62
2,247.0,341
3,151.0,398
4,279.0,312
5,479.0,190
6,250.0,345
7,374.0,269
8,336.0,282
9,53.0,454
10,375.0,715
11,473.0,33
12,431.0,398
13,215.0,716
14,424.0,328
15,334.0,275
16,318.0,191
17,310.0,319
18,125.0,413
19,267.0,596
20,396.0,219
21,200.0,724
22,384.0,245
23,94.0,848
24,434.0,206
25,243.0,681
26,262.0,306
27,467.0,203
28,36.0,466
29,351.0,129
30,33.0,468
31,423.0,250
32,212.0,375
33,385.0,130
34,205.0,352
35,283.0,330
36,283.0,327
37,363.0,33
38,50.0,908
39,65.0,454
40,442.0,31
41,137.0,409
42,211.0,355
43,442.0,132
44,414.0,700
45,47.0,458
46,522.0,126
47,166.0,764
48,383.0,214
49,242.0,334
50,230.0,692
51,103.0,1207
52,187.0,337
53,71.0,1317
54,418.0,106
55,399.0,411
56,290.0,539
57,128.0,794
58,256.0,350
59,269.0,313
60,466.0,52
61,199.0,680
62,166.0,764
63,325.0,591
64,405.0,231
65,341.0,806
66,84.0,436
67,376.0,743
68,219.0,344
69,330.0,1073
70,379.0,248
71,193.0,364
72,261.0,333
73,346.0,547
74,156.0,382
75,438.0,97
76,196.0,743
77,445.0,90
78,297.0,294
79,521.0,48
80,277.0,327
81,119.0,832
82,194.0,354
83,194.0,735
84,101.0,847
85,324.0,271
86,424.0,328
87,170.0,363
88,336.0,544
89,71.0,1317
90,394.0,485
91,335.0,261
92,399.0,411
93,50.0,908
94,536.0,50
95,132.0,399
96,148.0,772
97,298.0,290
98,130.0,405
99,108.0,426
100,192.0,379
101,102.0,834
102,397.0,167
103,53.0,453
104,341.0,806
105,148.0,391
106,48.0,450
107,283.0,309
108,357.0,502
109,111.0,425
110,54.0,452
111,487.0,98
112,528.0,156
113,184.0,343
114,94.0,848
115,376.0,743
116,356.0,254
117,479.0,190
118,255.0,326
119,61.0,879
120,82.0,432
121,297.0,297
122,240.0,347
123,414.0,700
124,343.0,233
125,301.0,326
126,201.0,353
127,197.0,372
128,199.0,372
129,390.0,237
130,70.0,1348
131,230.0,692
132,492.0,96
133,375.0,715
134,414.0,700
135,332.0,547
136,134.0,403
137,149.0,397
138,317.0,260
139,150.0,737
140,281.0,201
141,317.0,289
142,234.0,652
143,342.0,272
144,347.0,263
145,301.0,222
146,80.0,433
147,119.0,832
148,104.0,426
149,86.0,841
150,514.0,160
151,74.0,449
152,86.0,427
153,130.0,404
154,187.0,369
155,57.0,453
156,267.0,596
157,298.0,624
158,79.0,436
159,330.0,1073
160,174.0,361
161,95.0,805
162,170.0,352
163,341.0,155
164,375.0,257
165,200.0,346
166,346.0,547
167,188.0,355
168,284.0,25
169,234.0,652
170,393.0,488
171,132.0,801
172,194.0,380
173,330.0,1073
174,100.0,813
175,261.0,300
176,97.0,439
177,268.0,293
178,250.0,296
179,88.0,827
180,55.0,462
181,184.0,350
182,102.0,834
183,492.0,98
184,42.0,462
185,438.0,101
186,281.0,282
187,460.0,54
188,464.0,100
189,128.0,794
190,132.0,801
191,203.0,346
192,168.0,368
193,268.0,561
194,131.0,396
195,265.0,298
196,215.0,367
197,342.0,263
198,390.0,237
199,159.0,396
200,288.0,643
201,275.0,314
202,134.0,809
203,464.0,119
204,174.0,389
205,383.0,214
206,63.0,878
207,166.0,369
208,317.0,279
209,470.0,71
210,87.0,423
211,194.0,351
212,89.0,425
213,336.0,544
214,43.0,448
215,53.0,444
216,162.0,338
217,0.0,482
218,231.0,327
219,135.0,402
220,47.0,449
221,101.0,793
222,0.0,963
223,36.0,912
224,204.0,754
225,151.0,395
226,332.0,547
227,256.0,305
228,138.0,405
229,294.0,300
230,288.0,298
231,211.0,347
232,210.0,989
233,181.0,326
234,174.0,346
235,73.0,436
236,468.0,71
237,68.0,453
238,197.0,378
239,0.0,963
240,295.0,263
241,200.0,342
242,227.0,319
243,209.0,346
244,212.0,306
245,26.0,931
246,71.0,1317
247,200.0,724
248,284.0,25
249,283.0,307
250,223.0,336
251,216.0,329
252,30.0,933
253,437.0,215
254,147.0,375
255,30.0,933
256,308.0,300
257,105.0,405
258,83.0,435
259,54.0,454
260,143.0,373
261,155.0,770
262,528.0,156
263,135.0,386
264,224.0,290
265,219.0,336
266,98.0,418
267,129.0,407
268,95.0,805
269,37.0,464
270,81.0,412
271,61.0,456
272,457.0,63
273,148.0,371
274,83.0,874
275,70.0,431
276,101.0,793
277,138.0,406
278,199.0,680
279,134.0,809
280,196.0,743
281,79.0,446
282,389.0,137
283,424.0,77
284,200.0,318
285,0.0,477
286,63.0,878
287,464.0,51
288,83.0,874
289,120.0,422
290,42.0,442
291,110.0,800
292,61.0,440
293,88.0,435
294,492.0,98
295,150.0,737
296,375.0,151
297,194.0,735
298,88.0,827
299,514.0,160
300,223.0,343
301,93.0,816
302,406.0,98
303,211.0,708
304,263.0,323
305,106.0,417
306,222.0,345
307,215.0,716
308,437.0,215
309,264.0,253
310,113.0,402
311,54.0,446
312,106.0,428
313,204.0,754
314,298.0,624
315,86.0,841
316,205.0,333
317,148.0,772
318,100.0,427
319,130.0,361
320,68.0,445
321,169.0,387
322,288.0,643
323,159.0,383
324,457.0,67
325,359.0,159
326,117.0,400
327,215.0,328
328,93.0,816
329,72.0,441
330,164.0,371
331,102.0,857
332,330.0,1073
333,163.0,381
334,394.0,485
335,262.0,278
336,110.0,800
337,393.0,488
338,59.0,895
339,312.0,329
340,43.0,460
341,80.0,442
342,147.0,404
343,70.0,1348
344,161.0,364
345,313.0,189
346,266.0,290
347,101.0,847
348,485.0,60
349,47.0,445
350,167.0,383
351,66.0,443
352,24.0,468
353,59.0,895
354,159.0,389
355,100.0,813
356,161.0,352
357,240.0,308
358,290.0,539
359,103.0,1207
360,66.0,449
361,70.0,1348
362,172.0,370
363,52.0,451
364,125.0,399
365,69.0,436
366,202.0,347
367,35.0,461
368,31.0,459
369,69.0,432
370,70.0,406
371,341.0,806
372,210.0,989
373,59.0,449
374,103.0,1207
375,14.0,949
376,38.0,460
377,91.0,435
378,376.0,743
379,102.0,857
380,431.0,398
381,471.0,98
382,211.0,708
383,170.0,358
384,179.0,386
385,405.0,125
386,187.0,339
387,382.0,138
388,105.0,404
389,375.0,715
390,67.0,443
391,42.0,447
392,487.0,98
393,471.0,94
394,84.0,434
395,51.0,453
396,93.0,422
397,325.0,591
398,230.0,347
399,16.0,472
400,31.0,461
401,61.0,879
402,155.0,770
403,159.0,362
404,258.0,323
405,14.0,949
406,26.0,931
407,264.0,321
408,357.0,502
409,243.0,681
410,30.0,465
411,36.0,912
412,88.0,429
413,251.0,597
414,476.0,67
