,money,wandering_time
398,521.0,386
399,419.0,257
400,486.0,168
401,251.0,305
402,609.0,153
403,452.0,377
404,435.0,224
405,322.0,234
406,474.0,178
407,375.0,260
408,540.0,180
409,594.0,96
410,520.0,181
411,335.0,273
412,590.0,128
413,487.0,181
414,428.0,237
415,507.0,203
416,315.0,284
417,609.0,153
418,496.0,203
419,425.0,444
