,money,wandering_time
0,257.0,609
1,495.0,45
2,314.0,563
3,254.0,314
4,201.0,673
5,455.0,342
6,255.0,337
7,256.0,323
8,297.0,586
9,386.0,495
10,400.0,72
11,481.0,662
12,186.0,713
13,290.0,253
14,353.0,523
15,395.0,103
16,401.0,463
17,241.0,319
18,509.0,63
19,181.0,305
20,320.0,292
21,296.0,845
22,253.0,289
23,363.0,520
24,376.0,776
25,220.0,1057
26,200.0,713
27,171.0,362
28,250.0,313
29,222.0,675
30,124.0,407
31,465.0,284
32,376.0,183
33,425.0,789
34,257.0,345
35,409.0,236
36,111.0,407
37,428.0,358
38,278.0,620
39,534.0,60
40,512.0,130
41,310.0,244
42,272.0,996
43,236.0,1348
44,370.0,238
45,525.0,72
46,430.0,802
47,164.0,393
48,466.0,245
49,253.0,337
50,463.0,81
51,550.0,302
52,463.0,81
53,262.0,661
54,509.0,63
55,375.0,711
56,295.0,613
57,425.0,789
58,171.0,771
59,239.0,618
60,164.0,394
61,360.0,348
62,309.0,247
63,294.0,579
64,388.0,234
65,210.0,352
66,97.0,443
67,160.0,1088
68,171.0,1122
69,171.0,1122
70,341.0,254
71,337.0,195
72,286.0,246
73,340.0,246
74,314.0,564
75,499.0,61
76,511.0,124
77,63.0,437
78,31.0,16
79,70.0,442
80,318.0,288
81,276.0,262
82,314.0,564
83,323.0,262
84,273.0,974
85,320.0,271
86,120.0,399
87,131.0,406
88,292.0,290
89,212.0,331
90,546.0,179
91,259.0,581
92,329.0,269
93,240.0,321
94,252.0,315
95,220.0,325
96,146.0,812
97,329.0,579
98,536.0,106
99,77.0,454
100,184.0,720
101,122.0,811
102,174.0,330
103,115.0,416
104,95.0,853
105,342.0,593
106,62.0,441
107,249.0,327
108,311.0,273
109,306.0,537
110,275.0,596
111,217.0,1058
112,375.0,711
113,220.0,1057
114,55.0,453
115,41.0,915
116,153.0,797
117,283.0,311
118,329.0,579
119,138.0,996
120,80.0,432
121,114.0,417
122,305.0,559
123,188.0,757
124,242.0,323
125,127.0,402
126,243.0,299
127,103.0,408
128,233.0,322
129,191.0,339
130,333.0,278
131,311.0,285
132,98.0,805
133,227.0,1450
134,263.0,639
135,220.0,342
136,485.0,52
137,342.0,593
138,225.0,947
139,117.0,803
140,286.0,286
141,410.0,80
142,314.0,275
143,448.0,79
144,136.0,393
145,40.0,921
146,171.0,1491
147,296.0,845
148,86.0,424
149,227.0,1450
150,114.0,419
151,191.0,354
152,288.0,267
153,355.0,322
154,75.0,915
155,33.0,459
156,430.0,802
157,19.0,949
158,185.0,717
159,241.0,344
160,243.0,352
161,376.0,776
162,102.0,416
163,307.0,579
164,73.0,429
165,40.0,459
166,122.0,390
167,264.0,1233
168,249.0,289
169,33.0,461
170,307.0,579
171,98.0,745
172,355.0,322
173,310.0,571
174,171.0,1122
175,283.0,956
176,195.0,352
177,353.0,147
178,182.0,368
179,414.0,146
180,550.0,302
181,465.0,284
182,125.0,397
183,264.0,1233
184,136.0,779
185,220.0,693
186,48.0,457
187,447.0,82
188,121.0,833
189,343.0,553
190,171.0,1491
191,67.0,875
192,167.0,734
193,168.0,389
194,201.0,673
195,44.0,1348
196,263.0,592
197,52.0,917
